"Campaign name","Ad set name","Ad name",Age,Gender,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-Minimum Investment & Maximum Profit",25-34,female,,,0.87336245,,37.498714978891,,2.0446428571429,163.74984707,229,2,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",35-44,female,,,1.31578947,,45.39,,1.7272727272727,199.07894737,228,3,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",35-44,female,,,0.9478673,,41.72,,1.5984848484848,197.72511848,211,2,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",55-64,male,"On-Facebook leads",1,5.55555556,0.50505050505051,49.85,49.85,1.3561643835616,251.76767677,198,11,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",45-54,male,"On-Facebook leads",1,3.58974359,0.51282051282051,47.8,47.8,1.7105263157895,245.12820513,195,7,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",45-54,male,,,0.51282051,,22.74,,1.4338235294118,116.61538462,195,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-Own a Chicken Store Today",45-54,male,,,0.51813472,,31.43,,1.787037037037,162.84974093,193,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",45-54,male,"On-Facebook leads",1,4.27807487,0.53475935828877,32.39,32.39,1.640350877193,173.20855615,187,8,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",25-34,female,"On-Facebook leads",1,3.86740331,0.5524861878453,23.35,23.35,1.8469387755102,129.00552486,181,7,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",35-44,female,,,0.58139535,,25.21,,1.8695652173913,146.56976744,172,1,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",25-34,female,"On-Facebook leads",1,2.3255814,0.58139534883721,35.81,35.81,1.6538461538462,208.19767442,172,4,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",18-24,female,"On-Facebook leads",1,1.17647059,0.58823529411765,18.93,18.93,1.5178571428571,111.35294118,170,2,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",25-34,female,,,2.38095238,,23.84,,2.3333333333333,141.9047619,168,4,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-No. 1 Franchise Opportunity",25-34,female,"On-Facebook leads",1,4.29447853,0.61349693251534,23.5,23.5,1.4051724137931,144.17177914,163,7,2019-11-01,2019-12-03
